"","X","date","PL","plr"
"573",573,2009-08-04,-12980.9755800003,0
"574",574,2009-08-05,0,0
"575",575,2009-08-06,0,0
"576",576,2009-08-07,0,0
"577",577,2009-08-10,0,0
"578",578,2009-08-11,331905.35312,0
"579",579,2009-08-12,0,0
"580",580,2009-08-13,0,0
"581",581,2009-08-14,0,0
"582",582,2009-08-17,0,0
"583",583,2009-08-18,88226.0736092636,0
"584",584,2009-08-19,0,0
"585",585,2009-08-20,0,0
"586",586,2009-08-21,0,0
"587",587,2009-08-24,0,0
"588",588,2009-08-25,-197556.269,0
"589",589,2009-08-26,0,0
"590",590,2009-08-27,0,0
"591",591,2009-08-28,0,0
"592",592,2009-08-31,0,0
"593",593,2009-09-01,513125.712377189,0
"594",594,2009-09-02,0,0
"595",595,2009-09-03,0,0
"596",596,2009-09-04,0,0
"597",597,2009-09-08,-12392.1388254472,0
"598",598,2009-09-09,0,0
"599",599,2009-09-10,0,0
"600",600,2009-09-11,0,0
"601",601,2009-09-14,0,0
"602",602,2009-09-15,-84885.3155799994,0
"603",603,2009-09-16,0,0
"604",604,2009-09-17,0,0
"605",605,2009-09-18,0,0
"606",606,2009-09-21,0,0
"607",607,2009-09-22,-69445.4070399999,0
"608",608,2009-09-23,0,0
"609",609,2009-09-24,0,0
"610",610,2009-09-25,0,0
"611",611,2009-09-28,0,0
"612",612,2009-09-29,14080.398297507,0
"613",613,2009-09-30,0,0
"614",614,2009-10-01,0,0
"615",615,2009-10-02,0,0
"616",616,2009-10-05,0,0
"617",617,2009-10-06,396185.559505248,0
"618",618,2009-10-07,0,0
"619",619,2009-10-08,0,0
"620",620,2009-10-09,0,0
"621",621,2009-10-12,0,0
"622",622,2009-10-13,186189.456800381,0
"623",623,2009-10-14,0,0
"624",624,2009-10-15,0,0
"625",625,2009-10-16,0,0
"626",626,2009-10-19,0,0
"627",627,2009-10-20,179498.619132804,0
"628",628,2009-10-21,0,0
"629",629,2009-10-22,0,0
"630",630,2009-10-23,0,0
"631",631,2009-10-26,0,0
"632",632,2009-10-27,-10982.0181000001,0
"633",633,2009-10-28,0,0
"634",634,2009-10-29,0,0
"635",635,2009-10-30,0,0
"636",636,2009-11-02,0,0
"637",637,2009-11-03,-97899.3618521485,0
"638",638,2009-11-04,0,0
"639",639,2009-11-05,0,0
"640",640,2009-11-06,0,0
"641",641,2009-11-09,0,0
"642",642,2009-11-10,-10021.8153680281,0
"643",643,2009-11-11,0,0
"644",644,2009-11-12,0,0
"645",645,2009-11-13,0,0
"646",646,2009-11-16,0,0
"647",647,2009-11-17,64608.4269981184,0
"648",648,2009-11-18,0,0
"649",649,2009-11-19,0,0
"650",650,2009-11-20,0,0
"651",651,2009-11-23,0,0
"652",652,2009-11-24,28246.3481769851,0
"653",653,2009-11-25,0,0
"654",654,2009-11-27,0,0
"655",655,2009-11-30,0,0
"656",656,2009-12-01,263797.503902127,0
"657",657,2009-12-02,0,0
"658",658,2009-12-03,0,0
"659",659,2009-12-04,0,0
"660",660,2009-12-07,0,0
"661",661,2009-12-08,287123.768987725,0
"662",662,2009-12-09,0,0
"663",663,2009-12-10,0,0
"664",664,2009-12-11,0,0
"665",665,2009-12-14,0,0
"666",666,2009-12-15,21867.791387929,0
"667",667,2009-12-16,0,0
"668",668,2009-12-17,0,0
"669",669,2009-12-18,0,0
"670",670,2009-12-21,0,0
"671",671,2009-12-22,-52420.7283000001,0
"672",672,2009-12-23,0,0
"673",673,2009-12-24,0,0
"674",674,2009-12-28,0,0
"675",675,2009-12-29,-14657.6939600004,0
"676",676,2009-12-30,0,0
"677",677,2009-12-31,0,0
"678",678,2010-01-04,0,0
"679",679,2010-01-05,12926.1002000005,0
"680",680,2010-01-06,0,0
"681",681,2010-01-07,0,0
"682",682,2010-01-08,0,0
"683",683,2010-01-11,0,0
"684",684,2010-01-12,236643.362277114,0
"685",685,2010-01-13,0,0
"686",686,2010-01-14,0,0
"687",687,2010-01-15,0,0
"688",688,2010-01-19,7944.60626414751,0
"689",689,2010-01-20,0,0
"690",690,2010-01-21,0,0
"691",691,2010-01-22,0,0
"692",692,2010-01-25,0,0
"693",693,2010-01-26,131396.5979,0
"694",694,2010-01-27,0,0
"695",695,2010-01-28,0,0
"696",696,2010-01-29,0,0
"697",697,2010-02-01,0,0
"698",698,2010-02-02,281776.994370727,0
"699",699,2010-02-03,0,0
"700",700,2010-02-04,0,0
"701",701,2010-02-05,0,0
"702",702,2010-02-08,0,0
"703",703,2010-02-09,138837.94788,0
"704",704,2010-02-10,0,0
"705",705,2010-02-11,0,0
"706",706,2010-02-12,0,0
"707",707,2010-02-16,206498.171723784,0
"708",708,2010-02-17,0,0
"709",709,2010-02-18,0,0
"710",710,2010-02-19,0,0
"711",711,2010-02-22,0,0
"712",712,2010-02-23,362168.539028294,0
"713",713,2010-02-24,0,0
"714",714,2010-02-25,0,0
"715",715,2010-02-26,0,0
"716",716,2010-03-01,0,0
"717",717,2010-03-02,-55840.5773999994,0
"718",718,2010-03-03,0,0
"719",719,2010-03-04,0,0
"720",720,2010-03-05,0,0
